Age,Salary,Experience,Study_Hours,Score,Class_Label
20,199374,12,5.5,72.05,Medium
18,179937,13,5.36,64.31,Medium
22,157717,3,2.07,28.39,Low
43,139771,7,6.63,77.66,High
31,58000,4,0.93,14.96,Low
56,46737,0,7.74,76.45,High
44,31485,3,9.49,99.22,High
26,58565,2,3.73,39.12,Low
32,176594,8,5.41,63.46,Medium
32,139614,7,4.1,52.7,Medium
43,85155,0,0.56,8.02,Low
59,72487,5,4.17,45.35,Low
30,149948,8,8.02,90.2,High
49,32342,6,6.16,69.58,Medium
56,60806,3,1.46,19.12,Low
49,68770,12,8.55,100.0,High
21,98623,16,5.55,82.8,High
47,123177,1,8.5,78.24,High
54,151026,4,6.01,58.72,Medium
40,95629,11,5.82,75.67,High
56,140993,20,1.5,41.99,Low
32,146944,7,2.09,35.82,Low
46,125947,5,9.73,100.0,High
53,46399,7,2.67,38.37,Low
30,148177,17,9.79,100.0,High
49,129575,2,5.55,63.77,Medium
24,130904,11,1.79,35.39,Low
39,50678,2,1.44,9.97,Low
45,96218,5,2.48,25.31,Low
19,83230,1,9.29,100.0,High
59,94055,11,4.43,67.56,Medium
23,182552,1,4.26,31.51,Low
45,92258,5,3.48,35.51,Low
45,59986,16,1.9,48.7,Low
37,175232,2,5.13,54.21,Medium
47,105595,1,1.74,22.41,Low
28,121358,19,8.44,100.0,High
45,84929,7,4.02,53.97,Medium
42,93506,11,4.06,57.13,Medium
56,54911,3,5.0,52.31,Medium
50,107127,4,4.72,58.49,Medium
18,182893,12,9.95,100.0,High
44,133453,14,5.68,81.06,High
30,104458,15,1.34,36.69,Low
58,32175,9,6.27,73.77,Medium
20,139235,15,1.94,49.94,Low
56,74771,11,0.79,26.17,Low
23,147157,16,9.72,100.0,High
25,141300,15,7.85,100.0,High
44,106925,11,9.81,100.0,High
26,86358,7,5.04,72.08,Medium
54,168399,19,5.56,83.2,High
50,67057,2,2.1,17.66,Low
59,26150,15,2.85,60.53,Medium
41,24425,12,8.47,100.0,High
32,36032,18,3.88,67.02,Medium
49,22198,7,8.35,97.59,High
49,171151,4,7.24,84.32,High
41,187292,19,2.18,51.8,Medium
58,192946,7,5.32,60.46,Medium
29,164931,11,6.94,86.99,High
56,182491,0,2.73,25.2,Low
19,138865,20,8.39,100.0,High
20,159777,19,5.68,93.44,High
54,193952,5,2.07,31.98,Low
34,43236,17,6.04,86.93,High
19,107955,7,10.0,100.0,High
19,123145,6,1.93,32.35,Low
45,166430,0,8.26,77.21,High
40,114914,20,2.47,54.91,Medium
54,122870,15,7.93,100.0,High
49,136243,11,7.48,97.36,High
50,34596,5,3.35,38.48,Low
18,184644,19,3.6,61.48,Medium
36,152351,1,8.03,78.62,High
19,131496,13,4.88,72.63,Medium
43,150273,3,7.44,86.94,High
49,158155,0,1.91,22.01,Low
23,140674,17,8.6,100.0,High
49,140307,12,7.25,88.28,High
21,168843,1,9.12,94.35,High
28,181047,8,1.76,25.5,Low
34,196720,20,6.13,81.62,High
55,199357,1,6.19,71.58,Medium
41,39063,8,3.86,45.57,Low
22,87642,0,4.86,46.98,Low
51,110093,10,0.86,26.88,Low
23,188671,2,7.59,86.07,High
39,179601,19,5.72,86.99,High
28,55954,3,1.05,9.03,Low
33,47856,17,6.97,93.69,High
50,22573,5,4.93,53.41,Medium
26,55367,2,0.83,11.11,Low
23,119608,10,9.71,100.0,High
33,80774,14,9.52,100.0,High
46,43752,4,5.37,57.64,Medium
20,75029,19,1.39,39.98,Low
37,168757,9,7.67,83.92,High
53,150282,11,5.17,71.13,Medium
36,71693,14,3.37,47.63,Low
43,136739,16,5.17,69.2,Medium
20,75961,9,5.46,72.36,Medium
36,146678,5,5.85,73.5,Medium
37,94532,17,4.69,72.02,Medium
49,101994,12,6.25,74.41,Medium
24,76133,2,9.23,91.77,High
58,81268,9,3.94,57.94,Medium
50,189315,13,7.39,93.98,High
57,51653,5,9.0,96.99,High
56,177729,2,4.83,52.87,Medium
35,191024,15,4.71,69.41,Medium
57,173252,6,6.22,78.93,High
18,141829,19,6.12,85.95,High
28,148377,13,8.16,96.78,High
45,21622,8,5.03,55.38,Medium
42,68756,14,9.96,100.0,High
40,60809,20,1.06,35.14,Low
48,36725,2,0.53,9.39,Low
47,71226,1,6.58,67.4,Medium
59,101182,1,3.34,29.5,Low
52,49402,2,2.78,33.75,Low
24,24263,17,3.46,67.68,Medium
33,197900,13,2.93,50.59,Medium
43,67924,19,0.79,23.68,Low
19,94182,17,9.73,100.0,High
18,162736,9,2.6,43.23,Low
29,55737,1,7.47,85.98,High
22,121332,0,7.74,82.85,High
54,109563,3,9.33,100.0,High
49,180445,13,0.79,28.43,Low
26,187469,0,8.78,86.49,High
58,148575,13,5.51,76.47,High
52,121371,15,6.51,84.06,High
36,58709,13,6.62,87.87,High
33,170322,19,8.29,98.27,High
20,41172,2,3.67,39.91,Low
37,31555,2,7.46,84.32,High
41,73276,8,5.52,67.67,Medium
50,77492,5,8.04,96.54,High
41,109599,12,9.91,100.0,High
28,175834,20,2.41,59.11,Medium
25,31046,1,9.95,96.61,High
53,136021,7,1.35,28.81,Low
55,179841,20,0.52,36.36,Low
57,174222,1,0.92,9.6,Low
37,24853,3,3.75,29.13,Low
52,140900,14,6.51,84.83,High
42,172864,3,1.16,17.17,Low
52,79129,12,0.55,27.64,Low
42,134130,11,9.4,100.0,High
46,183059,12,8.31,100.0,High
35,166922,13,8.19,100.0,High
35,163184,19,8.9,100.0,High
19,141789,17,7.15,95.48,High
52,175130,5,1.49,26.09,Low
33,196492,10,4.29,60.5,Medium
58,58890,1,7.37,83.34,High
53,86017,18,3.16,71.0,Medium
50,198376,18,7.03,100.0,High
21,183993,4,0.73,20.77,Low
50,152596,18,3.41,63.74,Medium
31,120424,1,5.72,65.45,Medium
38,35048,9,6.5,86.81,High
37,186183,1,5.98,60.56,Medium
25,188976,10,7.13,83.64,High
24,74912,17,0.56,27.26,Low
20,54008,14,1.46,31.22,Low
34,151132,8,8.75,92.59,High
50,103559,18,6.98,98.05,High
29,75337,8,1.57,22.7,Low
39,130616,2,8.5,84.08,High
39,33350,20,2.8,61.51,Medium
47,44354,8,5.04,63.31,Medium
55,65186,13,1.88,40.45,Low
55,48145,18,7.25,100.0,High
25,185092,6,6.84,81.72,High
44,106123,15,2.51,55.19,Medium
44,40581,15,8.7,100.0,High
51,108929,0,4.31,51.16,Medium
38,43051,3,3.28,39.1,Low
47,71474,3,1.95,24.84,Low
50,111748,6,3.03,46.61,Low
45,145995,7,0.71,13.24,Low
50,89626,16,6.04,94.52,High
22,26960,4,8.5,89.59,High
36,186844,6,5.72,60.11,Medium
21,172592,19,2.58,57.57,Medium
52,56408,19,0.82,34.81,Low
34,114006,3,2.54,40.03,Low
45,77134,5,4.45,49.84,Low
47,171563,6,7.72,87.77,High
46,152413,17,2.28,41.17,Low
23,195695,4,7.34,83.46,High
52,110327,19,8.74,100.0,High
58,151410,2,4.81,54.57,Medium
54,163326,6,8.3,89.86,High
41,31344,13,5.77,66.97,Medium
46,152822,6,6.55,75.16,High
48,87957,4,5.5,61.43,Medium
52,125423,4,4.9,59.41,Medium
50,78053,1,2.73,36.58,Low
38,166968,20,3.38,73.36,Medium
49,97454,5,3.25,44.32,Low
40,110600,14,5.85,80.89,High
50,142732,20,1.64,39.26,Low
20,179007,9,9.21,100.0,High
35,57641,6,7.35,83.57,High
42,49711,4,4.31,48.11,Low
59,90342,0,2.01,23.26,Low
48,126896,12,8.88,100.0,High
20,163254,20,8.33,100.0,High
57,107833,17,7.36,94.93,High
41,76276,12,3.08,48.1,Low
49,39541,20,4.32,70.12,Medium
39,114457,20,1.48,36.59,Low
40,64813,17,2.3,43.52,Low
19,188270,4,7.94,79.24,High
44,159892,12,7.29,96.94,High
59,44070,3,6.14,74.41,Medium
19,162194,16,9.01,100.0,High
43,100559,2,6.04,66.13,Medium
34,61786,16,4.94,77.77,High
57,157809,10,3.73,44.84,Low
50,56062,20,9.43,100.0,High
26,71571,19,1.29,54.07,Medium
56,45510,20,9.34,100.0,High
46,39426,3,8.35,86.77,High
59,57265,1,1.73,16.0,Low
43,168922,19,5.87,77.09,High
52,86150,15,8.73,100.0,High
42,107312,17,5.93,94.54,High
41,109613,7,9.12,97.63,High
30,94910,2,9.46,87.92,High
24,72375,8,4.51,53.78,Medium
53,141826,19,4.08,73.71,Medium
37,55435,5,9.4,99.36,High
18,116443,9,6.91,78.5,High
25,154055,20,1.6,46.1,Low
33,171734,9,0.9,23.65,Low
31,43510,12,5.86,69.66,Medium
29,192070,16,9.34,100.0,High
40,114071,8,8.52,94.71,High
32,26640,16,6.92,90.0,High
45,64547,8,1.82,25.11,Low
51,74620,8,2.92,45.91,Low
19,166389,0,8.82,84.98,High
49,135608,1,2.24,13.93,Low
40,27564,15,3.15,55.32,Medium
39,178417,0,1.73,20.93,Low
42,133824,9,6.92,78.72,High
39,99273,17,9.47,100.0,High
39,94859,7,3.06,37.85,Low
59,130017,20,5.02,78.47,High
23,143618,10,6.53,85.83,High
32,145341,1,9.99,100.0,High
54,49430,7,1.5,29.7,Low
50,47788,7,5.24,58.06,Medium
25,199615,16,4.16,63.68,Medium
22,164991,14,8.73,100.0,High
56,89346,16,5.02,70.17,Medium
21,116122,12,1.55,38.56,Low
23,59974,18,6.53,89.16,High
49,127309,4,7.82,82.59,High
47,36371,11,0.53,30.15,Low
52,65084,0,8.66,84.42,High
57,180701,4,2.27,29.43,Low
33,81916,7,5.74,70.98,Medium
30,93972,12,4.45,63.63,Medium
59,32984,7,7.34,85.18,High
47,53039,10,4.03,55.02,Medium
36,105431,0,8.76,81.09,High
34,103691,12,7.44,94.14,High
36,78606,18,6.65,89.84,High
45,161688,2,8.06,87.48,High
43,122665,16,7.66,100.0,High
54,125373,4,0.84,5.37,Low
43,44574,19,4.25,77.87,High
40,154502,20,9.34,100.0,High
26,163748,7,1.69,26.75,Low
29,161888,13,7.5,89.94,High
18,52733,3,9.76,100.0,High
18,22050,10,1.0,25.33,Low
51,129996,19,6.98,100.0,High
49,53933,14,4.95,66.79,Medium
42,44951,18,6.0,95.3,High
57,52413,6,1.31,25.42,Low
18,185873,18,0.91,36.55,Low
33,183985,18,6.84,94.5,High
56,132573,10,8.32,96.67,High
22,191672,4,7.93,84.09,High
39,186472,4,5.67,63.54,Medium
46,155566,7,1.45,23.96,Low
20,142744,9,7.04,80.7,High
29,109431,5,2.8,36.37,Low
43,63001,14,9.16,100.0,High
33,87364,15,8.46,100.0,High
54,144988,16,7.24,95.28,High
39,65028,7,9.51,100.0,High
46,188645,7,0.8,23.45,Low
31,151878,8,7.49,91.84,High
45,144343,1,3.64,39.49,Low
22,148301,14,9.11,100.0,High
47,146295,17,3.03,54.19,Medium
22,180829,2,7.39,80.29,High
29,54636,16,8.84,100.0,High
33,199352,3,0.9,5.66,Low
43,44262,3,4.28,49.19,Low
43,100435,13,7.74,100.0,High
38,148583,8,4.82,58.42,Medium
56,189269,8,3.04,39.53,Low
53,61844,17,2.59,49.3,Low
50,84754,9,1.75,23.48,Low
47,185229,20,8.64,100.0,High
54,97129,3,5.97,64.35,Medium
40,60042,11,1.23,29.79,Low
27,81665,7,4.13,53.88,Medium
22,136953,1,3.99,37.41,Low
53,178448,12,2.23,41.67,Low
51,165271,20,4.64,78.62,High
48,138533,15,3.65,56.56,Medium
27,93781,1,3.75,41.1,Low
36,86262,10,7.52,90.6,High
49,66600,9,2.62,36.54,Low
18,96898,14,6.6,88.41,High
22,169369,16,5.92,81.75,High
21,50448,7,5.9,72.99,Medium
33,46172,17,6.8,92.3,High
41,193946,8,5.71,62.65,Medium
33,27657,7,8.85,100.0,High
19,176497,13,6.92,89.85,High
45,177757,17,5.7,77.09,High
49,132855,19,8.38,100.0,High
44,175650,19,6.26,94.59,High
37,179903,20,3.27,58.35,Medium
41,27906,11,2.47,37.9,Low
29,81413,18,1.95,45.79,Low
52,74028,13,9.04,100.0,High
50,27287,16,7.25,99.7,High
50,53660,20,9.41,100.0,High
54,80504,2,6.23,59.83,Medium
29,122979,6,5.0,54.89,Medium
20,54701,16,1.07,40.64,Low
18,103300,11,6.88,92.98,High
50,168746,8,6.03,74.99,Medium
57,103560,14,9.91,100.0,High
27,174946,17,2.77,51.0,Medium
46,63642,20,5.54,88.15,High
30,85160,12,6.68,85.18,High
29,37602,20,6.62,88.15,High
48,123320,7,5.83,73.96,Medium
19,108801,13,7.88,100.0,High
52,45931,7,2.45,38.69,Low
40,114377,13,7.39,87.94,High
34,49192,6,6.39,69.72,Medium
43,66542,11,9.01,97.31,High
25,147015,10,8.55,100.0,High
46,62520,10,3.49,48.12,Low
43,84772,12,3.12,60.87,Medium
27,70106,17,9.83,100.0,High
43,101121,1,5.51,52.08,Medium
51,45559,20,9.11,100.0,High
58,125595,14,2.06,43.93,Low
24,53742,19,6.61,85.83,High
21,89669,17,8.19,100.0,High
28,172826,14,9.5,100.0,High
46,155044,18,3.7,73.26,Medium
53,90831,11,7.39,91.21,High
42,132217,12,5.62,72.78,Medium
38,61873,10,1.08,22.64,Low
53,126532,4,7.05,80.97,High
27,146267,0,7.06,68.12,Medium
54,160975,2,9.34,96.15,High
26,154092,18,5.22,76.0,High
41,61755,6,2.69,28.31,Low
52,105956,11,0.92,20.72,Low
52,106988,14,4.45,62.99,Medium
53,65648,4,3.37,38.38,Low
35,145991,14,7.73,97.2,High
56,160588,7,3.87,48.76,Low
49,135005,9,9.52,100.0,High
41,22396,15,9.64,100.0,High
40,104082,7,6.4,79.24,High
49,170201,0,9.32,92.52,High
54,148322,11,7.73,95.07,High
29,152663,4,5.7,61.14,Medium
30,31303,2,2.21,10.88,Low
40,181633,0,4.86,48.7,Low
42,91719,3,5.83,64.33,Medium
52,119616,7,8.71,89.54,High
58,144165,2,5.07,56.2,Medium
47,106231,9,9.03,100.0,High
34,27314,1,6.91,72.29,Medium
37,39623,10,1.8,31.75,Low
42,125228,9,9.95,100.0,High
39,184202,20,5.51,86.23,High
30,117624,13,4.22,66.71,Medium
36,177364,6,6.76,82.02,High
53,131785,1,1.53,11.2,Low
29,106206,8,6.55,73.8,Medium
58,89274,15,5.23,77.06,High
36,153541,12,4.36,59.77,Medium
29,73947,8,9.55,100.0,High
26,173606,19,5.46,89.53,High
24,68874,3,2.58,28.75,Low
45,69708,9,4.86,57.26,Medium
31,94553,11,9.23,100.0,High
48,88344,16,2.17,56.61,Medium
36,69138,13,2.53,43.91,Low
33,67638,13,0.62,18.88,Low
22,98249,1,0.63,0.0,Low
52,125865,20,8.38,100.0,High
29,22719,19,7.46,100.0,High
42,173962,10,3.87,58.45,Medium
38,187581,15,7.13,98.06,High
53,62534,18,4.25,69.47,Medium
40,112241,5,9.55,100.0,High
33,169859,18,9.69,100.0,High
56,146209,4,4.23,39.56,Low
59,199917,3,8.62,100.0,High
56,112124,14,7.84,100.0,High
31,111659,3,3.44,43.23,Low
48,184134,19,2.7,50.13,Medium
22,95713,9,4.85,68.41,Medium
52,95418,2,7.92,79.9,High
40,148232,4,9.62,97.44,High
46,185904,5,7.75,84.8,High
28,183038,20,8.62,100.0,High
35,164059,7,6.23,67.41,Medium
29,188383,6,8.44,88.93,High
26,51575,20,7.95,100.0,High
27,83852,9,4.08,49.48,Low
34,152079,5,5.74,62.96,Medium
55,96242,13,8.15,94.06,High
24,198589,3,0.94,10.44,Low
30,49257,12,8.18,100.0,High
57,193279,19,2.19,54.52,Medium
59,164353,16,5.39,72.65,Medium
26,81246,6,8.18,95.59,High
44,21435,3,2.91,23.77,Low
19,111357,13,2.84,60.05,Medium
22,177732,2,4.33,52.8,Medium
46,156156,4,9.0,93.2,High
54,164579,15,0.5,29.41,Low
55,103807,19,9.06,100.0,High
36,196611,3,1.96,24.4,Low
25,135953,1,9.91,99.68,High
18,158563,17,9.57,100.0,High
39,143797,18,5.2,76.66,High
34,83888,18,5.37,77.87,High
24,93609,16,5.07,69.04,Medium
42,29077,13,6.54,80.61,High
21,40953,18,1.36,33.39,Low
53,134682,12,0.81,30.39,Low
23,87889,11,1.05,22.34,Low
48,174893,5,4.72,48.59,Low
36,188639,20,3.12,65.41,Medium
56,135374,3,6.41,70.45,Medium
44,44860,18,9.93,100.0,High
27,172267,15,4.17,68.78,Medium
43,97475,12,5.95,87.19,High
36,107266,3,4.45,48.22,Low
56,172499,16,8.55,100.0,High
20,120732,0,9.07,92.06,High
30,47083,17,8.83,100.0,High
45,77372,19,9.76,100.0,High
37,143786,16,0.76,32.1,Low
45,195136,14,8.48,100.0,High
25,27813,10,7.64,87.22,High
58,51598,12,2.67,51.07,Medium
56,113106,0,9.59,90.95,High
18,47082,16,1.91,41.88,Low
20,49241,5,6.96,79.03,High
30,195641,3,2.64,28.96,Low
45,31745,19,4.6,65.62,Medium
42,46029,15,7.33,100.0,High
50,164097,14,5.85,76.38,High
55,143395,14,4.56,70.32,Medium
23,165360,5,3.6,37.18,Low
49,109186,14,8.48,100.0,High
38,157612,13,1.87,42.51,Low
33,117768,10,4.59,62.6,Medium
38,61846,6,9.09,97.71,High
28,95932,8,8.54,99.18,High
54,168554,15,4.31,60.83,Medium
53,43411,4,7.75,84.05,High
52,98797,19,8.32,100.0,High
36,72307,9,8.94,100.0,High
37,154165,17,5.67,78.02,High
35,42042,2,2.44,27.75,Low
58,72930,12,2.93,47.03,Low
31,195485,10,3.31,45.77,Low
32,117883,16,6.14,80.23,High
48,53756,12,0.81,26.16,Low
18,73268,5,6.54,70.58,Medium
20,190286,16,3.96,58.43,Medium
33,179674,12,3.3,51.22,Medium
40,68901,18,8.86,100.0,High
28,119986,20,4.87,76.87,High
29,183268,18,1.4,48.49,Low
27,148386,9,8.35,100.0,High
49,25626,2,0.95,7.73,Low
33,158496,13,7.4,93.55,High
25,32857,18,7.85,100.0,High
55,171054,4,3.85,43.89,Low
29,153052,4,8.34,89.58,High
41,199362,19,5.4,74.15,Medium
45,46431,16,4.9,70.34,Medium
25,104976,20,0.93,42.08,Low
45,102711,9,3.26,58.25,Medium
53,46385,4,9.34,98.42,High
43,189230,3,4.22,38.39,Low
25,174091,5,5.69,57.37,Medium
45,38639,3,5.55,59.82,Medium
45,105530,6,6.11,75.99,High
54,41563,6,1.08,22.99,Low
58,190413,17,3.94,67.2,Medium
53,135672,2,7.37,83.25,High
44,156848,0,2.41,20.5,Low
34,187516,3,2.43,28.9,Low
26,159783,5,0.6,10.9,Low
50,102970,8,4.66,57.24,Medium
37,105553,13,8.89,100.0,High
30,181779,11,0.99,24.68,Low
45,190182,19,2.32,51.56,Medium
46,102879,3,3.45,37.14,Low
30,189899,20,7.45,100.0,High
52,156727,11,6.59,84.43,High
23,64859,9,4.45,64.19,Medium
35,72098,6,7.71,92.66,High
22,166323,2,6.29,69.71,Medium
42,142413,13,9.01,100.0,High
19,20526,9,8.27,94.4,High
27,88760,15,2.9,50.13,Medium
47,67837,15,3.08,50.01,Medium
22,31536,9,1.69,32.11,Low
50,48541,12,3.7,47.03,Low
18,99083,5,10.0,100.0,High
35,54531,11,4.35,65.98,Medium
49,28712,8,2.59,40.29,Low
28,124101,12,7.74,95.09,High
38,85455,3,5.65,67.14,Medium
43,94744,10,1.92,37.65,Low
42,149749,19,4.12,75.23,High
39,25109,17,4.44,69.6,Medium
44,69268,10,7.66,100.0,High
30,74615,20,0.7,42.83,Low
50,102503,3,3.06,37.65,Low
51,180831,17,5.42,85.98,High
58,105708,0,3.05,28.4,Low
52,122471,6,6.47,67.86,Medium
18,177661,5,5.08,59.91,Medium
38,181087,14,3.94,60.11,Medium
23,180081,17,9.52,100.0,High
45,103309,10,6.51,86.18,High
34,146446,19,1.73,46.64,Low
22,126661,14,5.82,80.52,High
48,177215,15,7.92,100.0,High
22,26154,6,7.23,85.71,High
55,172876,20,2.13,54.81,Medium
20,192760,9,9.74,100.0,High
40,84288,11,4.76,61.61,Medium
54,71195,13,2.01,46.12,Low
54,40581,4,2.21,37.29,Low
27,50087,20,1.43,48.51,Low
27,184053,17,8.13,100.0,High
36,89298,4,1.66,18.59,Low
34,66167,2,1.69,18.02,Low
38,194480,4,8.58,88.98,High
31,59499,16,3.77,61.34,Medium
26,145816,18,0.79,38.06,Low
18,189631,18,0.99,38.35,Low
30,116347,20,1.85,49.51,Low
21,68787,11,2.53,40.59,Low
18,55488,8,6.82,79.83,High
57,94441,0,1.99,23.88,Low
49,42431,17,1.63,31.74,Low
51,81681,20,7.76,100.0,High
45,142720,3,6.88,74.74,Medium
48,69153,9,4.64,63.82,Medium
25,26368,6,5.72,61.15,Medium
56,178496,0,3.46,29.29,Low
43,132360,16,5.08,77.72,High
51,196076,1,5.31,45.08,Low
20,132755,10,4.18,63.46,Medium
29,76985,8,9.11,100.0,High
18,70069,6,0.65,23.29,Low
22,72326,16,7.93,97.86,High
47,128737,16,1.68,38.62,Low
47,174470,1,8.08,70.26,Medium
34,70861,5,6.35,67.02,Medium
40,95897,13,8.51,100.0,High
32,147118,5,1.43,11.99,Low
54,88577,1,5.81,57.63,Medium
38,29078,0,5.26,42.66,Low
31,176075,9,7.21,84.31,High
19,82768,20,5.58,91.54,High
28,71047,4,5.64,62.23,Medium
56,91626,1,4.58,55.59,Medium
55,77660,15,3.43,60.73,Medium
51,152997,1,5.08,59.04,Medium
55,137832,9,1.63,25.98,Low
51,150406,1,9.63,93.85,High
35,145150,15,7.29,97.13,High
47,177087,15,9.55,100.0,High
32,53320,18,2.65,55.86,Medium
44,84881,6,8.85,95.88,High
51,110827,11,8.18,100.0,High
55,122215,14,6.93,93.7,High
50,177361,7,6.44,80.38,High
41,154461,5,3.51,38.83,Low
32,176755,9,8.26,100.0,High
47,164701,2,5.26,62.82,Medium
59,81550,18,1.17,38.51,Low
34,44826,16,3.47,55.0,Medium
22,120734,6,9.39,99.29,High
46,177702,20,8.58,100.0,High
21,197235,19,9.83,100.0,High
27,118511,3,6.47,64.29,Medium
34,31653,13,2.85,42.71,Low
27,179033,19,2.05,53.61,Medium
34,101941,14,2.28,40.03,Low
37,53662,7,0.69,22.49,Low
41,118818,20,4.21,74.43,Medium
22,172360,14,2.32,44.08,Low
51,115081,19,4.41,74.81,Medium
23,56877,13,9.38,100.0,High
19,131562,8,4.59,57.0,Medium
30,166385,7,8.84,90.12,High
28,92715,16,6.25,87.39,High
40,161398,1,2.85,37.87,Low
33,130091,2,3.88,33.76,Low
48,152632,7,1.3,18.67,Low
28,99148,11,3.67,55.33,Medium
33,103186,0,6.94,69.59,Medium
25,177817,9,1.19,27.46,Low
21,182962,19,2.45,49.5,Low
57,171094,2,4.12,50.01,Medium
21,143629,5,9.83,100.0,High
42,90316,6,7.96,92.08,High
20,48380,19,7.47,100.0,High
49,130198,17,1.6,42.38,Low
20,22356,10,7.92,97.33,High
44,90326,18,7.96,100.0,High
46,112447,4,6.21,62.15,Medium
49,134994,18,9.91,100.0,High
36,40049,10,3.59,54.99,Medium
38,125361,11,9.44,100.0,High
22,36082,9,9.19,100.0,High
35,20661,7,0.61,21.81,Low
45,188484,8,4.78,50.67,Medium
59,22920,3,9.78,100.0,High
39,99561,4,1.48,20.09,Low
38,28946,20,5.7,93.7,High
23,196572,7,9.8,100.0,High
18,36309,8,5.78,66.19,Medium
22,75230,14,2.3,45.54,Low
58,131822,14,6.03,81.15,High
29,181099,15,2.44,42.85,Low
43,132340,13,5.44,84.99,High
51,79321,7,1.2,17.64,Low
31,152028,17,6.25,76.79,High
43,94131,9,5.41,75.51,High
44,198980,19,7.53,100.0,High
26,45963,5,6.49,70.92,Medium
43,121757,11,5.72,71.91,Medium
