@relation fruit_classification

@attribute weight numeric
@attribute roundness numeric
@attribute redness numeric
@attribute yellowness numeric
@attribute class {Apple, Banana, Orange}

@data
115, 2, 1, 9, Banana
128, 1, 2, 8, Banana
121, 2, 1, 10, Banana
119, 1, 2, 9, Banana
123, 3, 1, 8, Banana
117, 2, 1, 10, Banana
124, 1, 2, 9, Banana
120, 2, 1, 8, Banana
126, 1, 2, 9, Banana
114, 3, 1, 10, Banana
127, 2, 1, 8, Banana
113, 1, 2, 9, Banana
122, 2, 1, 10, Banana
118, 1, 2, 8, Banana
125, 3, 1, 9, Banana
115, 2, 1, 10, Banana
128, 1, 2, 8, Banana
119, 2, 1, 9, Banana
121, 1, 2, 8, Banana
123, 3, 1, 10, Banana
117, 2, 1, 9, Banana
124, 1, 2, 8, Banana
120, 2, 1, 10, Banana
126, 1, 2, 9, Banana
114, 3, 1, 8, Banana
127, 2, 1, 10, Banana
113, 1, 2, 9, Banana
118, 2, 1, 8, Banana
122, 1, 2, 9, Banana
125, 3, 1, 10, Banana
115, 2, 1, 8, Banana
128, 1, 2, 9, Banana
121, 2, 1, 10, Banana
119, 1, 2, 8, Banana
123, 3, 1, 9, Banana
117, 2, 1, 10, Banana
124, 1, 2, 8, Banana

% --- 100 ORANGES ---
152, 9, 4, 8, Orange
154, 8, 5, 9, Orange
150, 10, 4, 7, Orange
157, 9, 6, 8, Orange
147, 8, 5, 9, Orange
153, 9, 4, 10, Orange
151, 8, 6, 8, Orange
155, 10, 5, 9, Orange
149, 9, 4, 8, Orange
156, 8, 5, 10, Orange
152, 9, 6, 8, Orange
158, 8, 4, 9, Orange
146, 10, 5, 8, Orange
159, 9, 6, 7, Orange
145, 8, 4, 9, Orange
154, 9, 5, 10, Orange
150, 8, 6, 8, Orange
157, 10, 4, 9, Orange
147, 9, 5, 8, Orange
160, 8, 6, 10, Orange
153, 9, 4, 8, Orange
151, 8, 5, 9, Orange
155, 10, 6, 8, Orange
149, 9, 4, 9, Orange
156, 8, 5, 10, Orange
152, 9, 6, 8, Orange
158, 8, 4, 9, Orange
146, 10, 5, 8, Orange
159, 9, 6, 10, Orange
145, 8, 4, 9, Orange
154, 9, 5, 8, Orange
150, 8, 6, 9, Orange
157, 10, 4, 10, Orange
147, 9, 5, 8, Orange
160, 8, 6, 9, Orange
153, 9, 4, 10, Orange
151, 8, 5, 8, Orange
155, 10, 6, 9, Orange
149, 9, 4, 10, Orange
156, 8, 5, 8, Orange
152, 9, 6, 9, Orange
158, 8, 4, 10, Orange
146, 10, 5, 8, Orange
159, 9, 6, 9, Orange
145, 8, 4, 10, Orange
154, 9, 5, 8, Orange
150, 8, 6, 9, Orange
157, 10, 4, 10, Orange
147, 9, 5, 8, Orange
160, 8, 6, 9, Orange
151, 9, 4, 8, Orange
153, 8, 5, 9, Orange
155, 10, 6, 8, Orange
149, 9, 4, 9, Orange
156, 8, 5, 10, Orange
152, 9, 6, 8, Orange
158, 8, 4, 9, Orange
146, 10, 5, 8, Orange
159, 9, 6, 10, Orange
145, 8, 4, 9, Orange
150, 9, 5, 8, Orange
154, 8, 6, 9, Orange
157, 10, 4, 10, Orange
147, 9, 5, 8, Orange
160, 8, 6, 9, Orange
153, 9, 4, 10, Orange
151, 8, 5, 8, Orange
155, 10, 6, 9, Orange
149, 9, 4, 10, Orange
156, 8, 5, 8, Orange
152, 9, 6, 9, Orange
158, 8, 4, 10, Orange
146, 10, 5, 8, Orange
159, 9, 6, 9, Orange
145, 8, 4, 10, Orange
154, 9, 5, 8, Orange
150, 8, 6, 9, Orange
157, 10, 4, 10, Orange
147, 9, 5, 8, Orange
160, 8, 6, 9, Orange
151, 9, 4, 8, Orange
153, 8, 5, 9, Orange
155, 10, 6, 8, Orange
149, 9, 4, 9, Orange
156, 8, 5, 10, Orange
152, 9, 6, 8, Orange
158, 8, 4, 9, Orange
146, 10, 5, 8, Orange
159, 9, 6, 10, Orange
145, 8, 4, 9, Orange
150, 9, 5, 8, Orange
154, 8, 6, 9, Orange
157, 10, 4, 10, Orange
147, 9, 5, 8, Orange
160, 8, 6, 9, Orange
153, 9, 4, 10, Orange
151, 8, 5, 8, Orange
155, 10, 6, 9, Orange
149, 9, 4, 10, Orange
156, 8, 5, 8, Orange
