@RELATION svm_vs_knn_nonlinear

@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE class {Inner,Outer}

@DATA
-4.757,-0.964,Outer
-5.21,-0.775,Outer
2.053,4.594,Outer
5.045,0.125,Outer
-4.786,0.805,Outer
-0.744,-4.734,Outer
-4.89,-0.566,Outer
-4.723,-1.715,Outer
-4.538,-1.806,Outer
0.047,4.927,Outer
-5.418,-0.263,Outer
-4.661,-1.904,Outer
-4.169,1.553,Outer
-3.574,-3.053,Outer
-1.757,-4.67,Outer
-4.511,1.393,Outer
4.611,-1.775,Outer
-1.702,-5.152,Outer
-0.276,4.574,Outer
-5.072,-1.99,Outer
3.147,3.668,Outer
3.544,3.397,Outer
0.296,5.026,Outer
4.291,2.123,Outer
3.684,-2.783,Outer
2.781,4.062,Outer
2.891,3.631,Outer
3.833,-3.473,Outer
4.745,-1.46,Outer
-3.407,2.532,Outer
2.506,-4.397,Outer
2.496,4.014,Outer
-2.722,4.343,Outer
1.616,4.555,Outer
5.323,0.655,Outer
-4.673,-1.651,Outer
-2.458,4.374,Outer
-3.495,-3.448,Outer
4.971,-0.467,Outer
1.221,-4.968,Outer
-0.486,4.955,Outer
4.881,1.24,Outer
3.299,3.493,Outer
-4.762,2.531,Outer
-0.257,4.749,Outer
3.123,4.263,Outer
-1.484,-4.609,Outer
4.533,2.855,Outer
-4.58,2.322,Outer
4.786,2.342,Outer
1.551,-4.612,Outer
4.373,2.54,Outer
3.206,-3.741,Outer
-4.629,1.384,Outer
4.719,-2.343,Outer
-0.583,5.178,Outer
0.379,5.208,Outer
3.896,3.201,Outer
1.513,4.837,Outer
-1.844,4.493,Outer
-1.341,5.228,Outer
-5.101,-0.003,Outer
5.174,0.593,Outer
-0.015,5.404,Outer
-4.782,-1.589,Outer
1.642,4.107,Outer
3.998,3.153,Outer
1.986,-4.297,Outer
2.596,-4.414,Outer
-3.615,2.875,Outer
4.954,-0.549,Outer
-2.857,4.337,Outer
-3.06,-3.514,Outer
-4.09,2.791,Outer
3.474,3.691,Outer
4.504,2.145,Outer
2.493,4.111,Outer
4.548,2.67,Outer
-2.19,-4.017,Outer
-0.999,4.91,Outer
-5.04,1.312,Outer
2.643,4.026,Outer
4.92,-1.205,Outer
4.75,-0.825,Outer
4.831,-1.059,Outer
-1.825,4.647,Outer
-3.686,3.391,Outer
-4.771,0.767,Outer
-4.995,-0.149,Outer
4.988,0.155,Outer
-4.123,3.015,Outer
5.033,1.349,Outer
0.542,5.001,Outer
-3.943,-2.351,Outer
-2.702,-4.116,Outer
-1.098,-5.062,Outer
-2.223,4.287,Outer
5.213,-0.502,Outer
-3.31,-4.17,Outer
5.071,1.432,Outer
-3.167,-3.262,Outer
-0.512,-5.026,Outer
-4.819,-0.725,Outer
-5.228,-0.144,Outer
2.13,-4.09,Outer
-4.574,-2.669,Outer
-1.661,-4.465,Outer
0.645,5.09,Outer
-3.221,3.858,Outer
4.082,3.163,Outer
-3.283,-3.399,Outer
-3.422,-3.476,Outer
4.736,0.099,Outer
1.475,-4.774,Outer
-4.59,-1.032,Outer
