@RELATION fruit_rigorous_500

@ATTRIBUTE color {Red, Green, Yellow, Orange}
@ATTRIBUTE weight NUMERIC
@ATTRIBUTE diameter NUMERIC
@ATTRIBUTE texture {Smooth, Rough, Bumpy}
@ATTRIBUTE class {Apple, Banana, Orange}

@DATA
Green,109.44,2.78,Smooth,Banana
Yellow,151.55,4.31,Smooth,Banana
Yellow,116.11,2.98,Smooth,Banana
Yellow,138.22,3.71,Smooth,Banana
Yellow,122.33,3.19,Smooth,Banana
Yellow,118.44,3.08,Smooth,Banana
Yellow,147.55,4.15,Smooth,Banana
Yellow,131.11,3.45,Smooth,Banana
Yellow,143.22,3.89,Smooth,Banana
Yellow,114.33,2.91,Smooth,Banana
Yellow,130.44,3.41,Smooth,Banana
Green,103.55,2.61,Smooth,Banana
Yellow,153.11,4.41,Smooth,Banana
Yellow,119.22,3.11,Smooth,Banana
Yellow,140.33,3.78,Smooth,Banana
Yellow,125.44,3.28,Smooth,Banana
Yellow,121.55,3.18,Smooth,Banana
Yellow,149.11,4.25,Smooth,Banana
Yellow,133.22,3.51,Smooth,Banana
Yellow,145.33,3.98,Smooth,Banana
Yellow,116.44,2.98,Smooth,Banana
Yellow,132.55,3.48,Smooth,Banana
Green,106.11,2.69,Smooth,Banana
Yellow,156.22,4.51,Smooth,Banana
Yellow,118.33,3.08,Smooth,Banana
Yellow,142.44,3.85,Smooth,Banana
Yellow,127.55,3.35,Smooth,Banana
Yellow,123.11,3.21,Smooth,Banana
Yellow,151.22,4.35,Smooth,Banana
Yellow,135.33,3.58,Smooth,Banana
Yellow,147.44,4.05,Smooth,Banana
Yellow,110.55,2.85,Smooth,Banana
Yellow,134.11,3.51,Smooth,Banana
Green,108.22,2.75,Smooth,Banana
Yellow,159.33,4.61,Smooth,Banana
Yellow,120.44,3.15,Smooth,Banana
Yellow,144.55,3.92,Smooth,Banana
Yellow,129.11,3.41,Smooth,Banana
Yellow,125.22,3.28,Smooth,Banana
Yellow,154.33,4.45,Smooth,Banana
Yellow,137.44,3.65,Smooth,Banana
Yellow,149.55,4.12,Smooth,Banana
Yellow,113.11,2.92,Smooth,Banana
Yellow,136.22,3.58,Smooth,Banana
Green,111.33,2.82,Smooth,Banana
Yellow,157.44,4.55,Smooth,Banana
Yellow,122.55,3.22,Smooth,Banana
Yellow,146.11,3.99,Smooth,Banana
Yellow,131.22,3.48,Smooth,Banana
Yellow,127.33,3.35,Smooth,Banana
Yellow,156.44,4.52,Smooth,Banana
Yellow,139.55,3.72,Smooth,Banana
Yellow,152.11,4.21,Smooth,Banana
Yellow,115.22,3.01,Smooth,Banana
Yellow,138.33,3.65,Smooth,Banana
Green,114.44,2.91,Smooth,Banana
Yellow,154.55,4.48,Smooth,Banana
Yellow,124.11,3.28,Smooth,Banana
Yellow,148.22,4.05,Smooth,Banana
Yellow,133.33,3.55,Smooth,Banana
Yellow,129.44,3.42,Smooth,Banana
Yellow,158.55,4.62,Smooth,Banana
Yellow,141.11,3.79,Smooth,Banana
Yellow,155.22,4.31,Smooth,Banana
Yellow,117.33,3.08,Smooth,Banana
Yellow,140.44,3.72,Smooth,Banana
Green,116.55,2.98,Smooth,Banana
Yellow,153.11,4.38,Smooth,Banana
Yellow,126.22,3.35,Smooth,Banana
Yellow,150.33,4.12,Smooth,Banana
Yellow,135.44,3.62,Smooth,Banana
Yellow,131.55,3.48,Smooth,Banana
Yellow,160.11,4.72,Smooth,Banana
Yellow,143.22,3.85,Smooth,Banana
Yellow,158.33,4.41,Smooth,Banana
Yellow,119.44,3.15,Smooth,Banana
Yellow,142.55,3.79,Smooth,Banana
Green,118.11,3.05,Smooth,Banana
Yellow,151.22,4.28,Smooth,Banana
Yellow,128.33,3.42,Smooth,Banana
Yellow,152.44,4.19,Smooth,Banana
Yellow,137.55,3.68,Smooth,Banana
Yellow,133.11,3.55,Smooth,Banana
Yellow,112.22,2.88,Smooth,Banana
Yellow,145.33,3.92,Smooth,Banana
Yellow,160.44,4.51,Smooth,Banana
Yellow,121.55,3.22,Smooth,Banana
Yellow,144.11,3.85,Smooth,Banana

% --- ORANGES (166 instances) ---
Orange,160.51,6.82,Bumpy,Orange
Orange,142.32,6.25,Bumpy,Orange
Orange,175.93,7.11,Rough,Orange
Orange,155.04,6.54,Bumpy,Orange
Orange,185.45,7.52,Bumpy,Orange
Orange,148.26,6.31,Bumpy,Orange
Orange,168.17,7.02,Bumpy,Orange
Orange,152.78,6.62,Bumpy,Orange
Orange,195.09,7.91,Bumpy,Orange
Orange,159.21,6.72,Bumpy,Orange
Orange,162.32,6.85,Rough,Orange
Orange,135.53,6.12,Bumpy,Orange
Orange,171.14,7.21,Bumpy,Orange
Orange,150.95,6.42,Bumpy,Orange
Orange,166.46,6.95,Bumpy,Orange
Orange,158.07,6.72,Bumpy,Orange
Orange,177.38,7.32,Rough,Orange
Orange,145.69,6.22,Bumpy,Orange
Orange,188.21,7.62,Bumpy,Orange
Orange,161.42,6.85,Bumpy,Orange
Orange,156.11,6.55,Bumpy,Orange
Orange,169.22,7.05,Bumpy,Orange
Orange,172.33,7.15,Bumpy,Orange
Orange,144.44,6.25,Bumpy,Orange
Orange,180.55,7.41,Bumpy,Orange
Orange,153.11,6.65,Bumpy,Orange
Orange,165.22,6.91,Bumpy,Orange
Orange,178.33,7.35,Bumpy,Orange
Orange,150.44,6.45,Bumpy,Orange
Orange,174.55,7.22,Bumpy,Orange
Orange,159.11,6.75,Bumpy,Orange
Orange,183.22,7.51,Bumpy,Orange
Orange,146.33,6.32,Bumpy,Orange
Orange,171.44,7.18,Bumpy,Orange
Orange,162.55,6.88,Bumpy,Orange
Orange,157.11,6.61,Bumpy,Orange
Orange,176.22,7.28,Bumpy,Orange
Orange,181.33,7.45,Bumpy,Orange
Orange,149.44,6.41,Bumpy,Orange
Orange,167.55,6.98,Bumpy,Orange
Orange,163.11,6.82,Bumpy,Orange
Orange,158.22,6.65,Bumpy,Orange
Orange,179.33,7.38,Bumpy,Orange
Orange,184.44,7.55,Bumpy,Orange
Orange,151.55,6.48,Bumpy,Orange
Orange,170.11,7.08,Bumpy,Orange
Orange,164.22,6.89,Bumpy,Orange
Orange,155.33,6.58,Bumpy,Orange
Orange,182.44,7.48,Bumpy,Orange
Orange,187.55,7.65,Bumpy,Orange
Orange,152.11,6.51,Bumpy,Orange
Orange,172.22,7.12,Bumpy,Orange
Orange,166.33,6.95,Bumpy,Orange
Orange,159.44,6.72,Bumpy,Orange
Orange,185.55,7.58,Bumpy,Orange
Orange,190.11,7.75,Bumpy,Orange
Orange,154.22,6.55,Bumpy,Orange
Orange,173.33,7.18,Bumpy,Orange
Orange,168.44,7.01,Bumpy,Orange
Orange,161.55,6.78,Bumpy,Orange
Orange,188.11,7.65,Bumpy,Orange
Orange,193.22,7.85,Bumpy,Orange
Orange,156.33,6.61,Bumpy,Orange
Orange,175.44,7.25,Bumpy,Orange
Orange,170.55,7.08,Bumpy,Orange
Orange,163.11,6.82,Bumpy,Orange
Orange,191.22,7.72,Bumpy,Orange
Orange,196.33,7.95,Bumpy,Orange
Orange,158.44,6.68,Bumpy,Orange
Orange,177.55,7.31,Bumpy,Orange
Orange,172.11,7.15,Bumpy,Orange
Orange,165.22,6.88,Bumpy,Orange
Orange,194.33,7.82,Bumpy,Orange
Orange,199.44,8.05,Bumpy,Orange
Orange,160.55,6.75,Bumpy,Orange
Orange,179.11,7.38,Bumpy,Orange
Orange,174.22,7.22,Bumpy,Orange
Orange,167.33,6.95,Bumpy,Orange
Orange,197.44,7.92,Bumpy,Orange
Orange,201.55,8.15,Bumpy,Orange
Orange,162.11,6.81,Bumpy,Orange
Orange,181.22,7.45,Bumpy,Orange
Orange,176.33,7.28,Bumpy,Orange
Orange,169.44,7.01,Bumpy,Orange
Orange,200.55,8.02,Bumpy,Orange
Orange,204.11,8.25,Bumpy,Orange
Orange,164.22,6.88,Bumpy,Orange
Orange,183.33,7.52,Bumpy,Orange
Orange,178.44,7.35,Bumpy,Orange
Orange,171.55,7.08,Bumpy,Orange
Orange,203.11,8.12,Bumpy,Orange
Orange,136.22,6.05,Bumpy,Orange
Orange,166.33,6.95,Bumpy,Orange
Orange,185.44,7.58,Bumpy,Orange
Orange,180.55,7.42,Bumpy,Orange
Orange,173.11,7.15,Bumpy,Orange
Orange,138.22,6.15,Rough,Orange
Orange,168.33,7.02,Bumpy,Orange
Orange,187.44,7.65,Bumpy,Orange
Orange,182.55,7.48,Bumpy,Orange
Orange,175.11,7.21,Bumpy,Orange
Orange,141.22,6.25,Bumpy,Orange
Orange,170.33,7.08,Bumpy,Orange
Orange,189.44,7.72,Bumpy,Orange
Orange,184.55,7.55,Bumpy,Orange
Orange,177.11,7.28,Bumpy,Orange
Orange,143.22,6.35,Bumpy,Orange
Orange,172.33,7.15,Bumpy,Orange
Orange,191.44,7.79,Bumpy,Orange
Orange,186.55,7.62,Bumpy,Orange
Orange,179.11,7.35,Bumpy,Orange
Orange,145.22,6.45,Bumpy,Orange
Orange,174.33,7.22,Bumpy,Orange
Orange,193.44,7.85,Bumpy,Orange
Orange,188.55,7.68,Bumpy,Orange
Orange,181.11,7.41,Bumpy,Orange
Orange,147.22,6.55,Bumpy,Orange
Orange,176.33,7.28,Bumpy,Orange
Orange,195.44,7.92,Bumpy,Orange
Orange,190.55,7.75,Bumpy,Orange
Orange,183.11,7.48,Bumpy,Orange
Orange,149.22,6.65,Rough,Orange
Orange,178.33,7.35,Bumpy,Orange
Orange,197.44,7.99,Bumpy,Orange
Orange,192.55,7.82,Bumpy,Orange
Orange,185.11,7.55,Bumpy,Orange
Orange,151.22,6.75,Bumpy,Orange
Orange,180.33,7.42,Bumpy,Orange
Orange,199.44,8.05,Bumpy,Orange
Orange,194.55,7.89,Bumpy,Orange
Orange,187.11,7.61,Bumpy,Orange
Orange,153.22,6.85,Bumpy,Orange
Orange,182.33,7.49,Bumpy,Orange
Orange,201.44,8.12,Bumpy,Orange
Orange,196.55,7.95,Bumpy,Orange
Orange,189.11,7.68,Bumpy,Orange
Orange,155.22,6.95,Bumpy,Orange
Orange,184.33,7.55,Bumpy,Orange
Orange,203.44,8.19,Bumpy,Orange
Orange,198.55,8.02,Bumpy,Orange
Orange,191.11,7.75,Bumpy,Orange
Orange,157.22,7.05,Rough,Orange
Orange,186.33,7.62,Bumpy,Orange
Orange,205.44,8.25,Bumpy,Orange
Orange,200.55,8.09,Bumpy,Orange
Orange,193.11,7.82,Bumpy,Orange
Orange,159.22,7.15,Bumpy,Orange
Orange,188.33,7.69,Bumpy,Orange
Orange,207.44,8.32,Bumpy,Orange
Orange,202.55,8.15,Bumpy,Orange
Orange,195.11,7.89,Bumpy,Orange
Orange,161.22,7.25,Bumpy,Orange
Orange,190.33,7.75,Bumpy,Orange
Orange,209.44,8.39,Bumpy,Orange
Orange,204.55,8.22,Bumpy,Orange
Orange,197.11,7.95,Bumpy,Orange
Orange,163.22,7.35,Bumpy,Orange
Orange,192.33,7.82,Bumpy,Orange
Orange,211.44,8.45,Bumpy,Orange
Orange,206.55,8.29,Bumpy,Orange
Orange,199.11,8.02,Bumpy,Orange
Orange,165.22,7.45,Bumpy,Orange
Orange,194.33,7.89,Bumpy,Orange
Orange,213.44,8.52,Bumpy,Orange
Orange,208.55,8.35,Bumpy,Orange
Orange,201.11,8.09,Bumpy,Orange
Orange,167.22,7.55,Bumpy,Orange
