@relation TechNova_Employee_Attrition

@attribute EmployeeID numeric
@attribute Age numeric
@attribute Gender {Male, Female}
@attribute Department {IT, Sales, Finance, R&D, HR}
@attribute JobRole {'System Admin', 'Account Manager', 'Financial Analyst', 'Lab Technician', 'Research Scientist', 'HR Generalist', 'Recruiter', 'Software Engineer', 'Sales Executive', 'Accountant', 'Data Scientist'}
@attribute MonthlyIncome numeric
@attribute YearsAtCompany numeric
@attribute YearsSinceLastPromotion numeric
@attribute JobSatisfaction numeric
@attribute WorkLifeBalance numeric
@attribute EducationLevel numeric
@attribute TrainingHoursLastYear numeric
@attribute OverTime {Yes, No}
@attribute PerformanceRating numeric
@attribute Attrition {Yes, No}

@data
1052,39,Male,HR,'HR Generalist',32087,11,9,4,2,5,19,Yes,5,Yes
1053,47,Male,Sales,'Sales Executive',46337,16,2,4,1,3,63,No,3,No
1054,55,Male,IT,'Data Scientist',80333,15,4,3,2,3,9,No,3,No
1055,31,Female,Sales,'Account Manager',85448,7,4,2,2,3,66,No,4,No
1056,57,Male,Sales,'Sales Executive',19648,19,4,2,2,3,23,Yes,3,No
1057,35,Female,R&D,'Lab Technician',145576,2,0,1,1,4,4,No,1,No
1058,52,Female,IT,'System Admin',48623,15,4,4,4,3,66,No,5,No
1059,36,Female,IT,'Software Engineer',50634,13,9,3,2,4,57,No,1,No
1060,29,Male,IT,'Data Scientist',129598,4,4,1,1,4,26,Yes,5,Yes
1061,35,Male,IT,'Software Engineer',64334,6,3,1,1,3,79,Yes,4,Yes
1062,44,Female,IT,'System Admin',83648,18,5,2,2,2,14,No,3,Yes
1063,42,Female,R&D,'Research Scientist',37054,7,1,3,2,3,34,No,3,No
1064,37,Male,HR,'HR Generalist',85028,5,3,3,4,3,75,Yes,3,Yes
1065,39,Female,Sales,'Account Manager',37207,4,1,3,1,3,52,Yes,5,No
1066,45,Female,IT,'Data Scientist',96554,19,2,2,1,2,43,No,3,No
1067,47,Female,HR,'HR Generalist',98276,7,0,2,3,1,25,No,1,No
1068,46,Female,HR,Recruiter,67781,11,7,2,1,1,46,No,3,Yes
1069,50,Female,Sales,'Account Manager',76035,0,0,2,4,4,33,No,4,No
1070,36,Male,R&D,'Lab Technician',23210,8,8,2,3,4,49,No,1,No
1071,22,Female,Finance,Accountant,59363,0,0,4,3,2,11,Yes,3,No
1072,46,Female,Finance,Accountant,93279,20,3,4,3,5,3,No,3,No
1073,28,Male,HR,'HR Generalist',149393,3,1,3,2,1,47,No,2,No
1074,30,Male,Sales,'Sales Executive',96348,5,0,1,2,4,54,No,5,Yes
1075,45,Male,Finance,'Financial Analyst',128816,17,5,3,1,1,0,No,1,Yes
1076,22,Female,HR,Recruiter,138053,0,0,1,3,2,65,Yes,2,Yes
1077,29,Female,R&D,'Research Scientist',81262,7,5,2,4,2,29,Yes,4,No
1078,45,Male,Finance,'Financial Analyst',149832,6,3,1,2,5,2,No,5,Yes
1079,32,Female,HR,Recruiter,82411,0,0,3,4,5,20,Yes,1,Yes
1080,38,Male,HR,Recruiter,38377,15,8,3,4,2,48,Yes,3,No
1081,29,Female,IT,'Software Engineer',53211,3,2,1,2,4,61,No,1,No
1082,56,Female,R&D,'Research Scientist',18744,5,3,4,2,1,37,No,3,Yes
1083,56,Female,IT,'Data Scientist',39995,19,7,2,2,3,14,No,5,No
1084,54,Male,Sales,'Account Manager',49542,1,0,2,2,5,51,No,3,Yes
1085,26,Male,IT,'System Admin',25651,4,3,3,3,3,78,No,4,Yes
1086,49,Male,IT,'Software Engineer',114239,13,4,4,3,4,45,No,3,No
1087,28,Male,Finance,Accountant,93931,3,1,1,3,5,24,No,4,No
1088,30,Female,HR,Recruiter,117112,0,0,2,3,3,20,No,5,Yes
1089,29,Female,R&D,'Research Scientist',31715,6,3,4,1,4,4,No,5,Yes
1090,33,Female,IT,'Data Scientist',76350,1,1,2,3,1,69,No,1,No
1091,55,Female,R&D,'Research Scientist',86425,12,5,4,2,4,46,No,4,No
1092,54,Female,IT,'System Admin',101120,1,1,4,4,5,67,No,4,No
1093,44,Female,Sales,'Sales Executive',129889,8,6,3,3,2,17,No,2,No
1094,45,Female,IT,'Software Engineer',89637,20,2,2,1,1,20,Yes,2,Yes
1095,58,Female,Finance,Accountant,85194,1,0,1,2,3,22,No,2,Yes
1096,56,Male,HR,Recruiter,91917,8,7,3,4,5,63,Yes,3,No
1097,43,Male,Sales,'Sales Executive',79200,0,0,3,4,2,66,No,2,No
1098,48,Male,IT,'Software Engineer',120848,10,9,1,3,4,39,No,4,No
1099,56,Female,R&D,'Research Scientist',121022,2,1,3,4,2,9,No,3,No
1100,22,Female,Sales,'Sales Executive',75058,0,0,4,3,5,51,No,5,No
1101,56,Male,Sales,'Sales Executive',77068,19,9,4,3,5,71,No,1,No
1102,58,Female,IT,'Software Engineer',114932,3,0,2,2,2,74,No,2,Yes
1103,35,Female,Sales,'Sales Executive',37785,1,0,2,2,4,60,No,5,No
1104,24,Male,R&D,'Research Scientist',109475,2,1,1,1,2,63,No,4,No
1105,22,Male,Sales,'Sales Executive',17282,0,0,2,2,5,4,Yes,1,No
1106,26,Female,R&D,'Research Scientist',82534,2,0,4,2,5,52,Yes,5,No
1107,47,Male,IT,'Data Scientist',89964,10,3,1,3,3,54,Yes,1,No
1108,35,Female,HR,'HR Generalist',134006,5,2,1,2,3,36,No,2,No
1109,48,Male,Sales,'Account Manager',65583,4,3,2,3,1,55,No,4,Yes
1110,30,Female,HR,Recruiter,53392,3,1,4,3,5,58,No,1,No
1111,36,Female,R&D,'Lab Technician',22461,9,9,1,2,3,68,Yes,5,Yes
1112,36,Female,Sales,'Account Manager',115123,11,10,4,1,2,72,Yes,2,No
1113,47,Female,Finance,'Financial Analyst',25516,14,8,4,1,4,58,No,2,No
1114,34,Male,HR,Recruiter,136251,0,0,4,4,2,1,Yes,5,No
1115,53,Male,Sales,'Account Manager',77493,9,4,2,4,4,64,No,5,No
1116,53,Male,HR,Recruiter,51027,5,3,3,2,3,59,No,1,No
1117,25,Female,Sales,'Sales Executive',108547,1,1,3,1,1,50,No,3,Yes
1118,51,Female,IT,'Software Engineer',115127,12,0,1,3,2,29,Yes,2,No
1119,58,Female,HR,'HR Generalist',94003,2,2,4,4,2,10,Yes,1,No
1120,44,Male,Finance,Accountant,54758,9,6,2,3,2,75,Yes,5,Yes
1121,36,Male,Finance,Accountant,69312,13,5,4,4,4,38,No,1,No
1122,50,Male,R&D,'Research Scientist',83670,13,1,4,2,3,76,No,5,No
1123,57,Male,Sales,'Account Manager',97279,5,2,2,1,2,71,Yes,4,Yes
1124,34,Female,HR,'HR Generalist',30434,2,2,3,4,2,62,No,5,No
1125,53,Male,R&D,'Research Scientist',90769,15,6,4,1,1,63,No,5,No
1126,28,Male,HR,Recruiter,81677,6,4,4,3,1,60,Yes,5,No
1127,43,Female,Sales,'Account Manager',98555,19,9,3,2,3,53,No,3,Yes
1128,49,Male,Finance,Accountant,143379,13,9,2,1,3,72,No,5,Yes
1129,23,Male,IT,'Software Engineer',116665,0,0,1,2,5,57,Yes,2,No
1130,27,Female,Finance,'Financial Analyst',83803,4,3,3,1,1,55,No,2,No
1131,49,Male,R&D,'Research Scientist',106703,2,1,1,3,5,33,No,1,No
1132,49,Female,IT,'System Admin',36312,1,0,1,3,4,30,No,3,Yes
1133,41,Female,R&D,'Research Scientist',132961,1,0,3,2,5,51,No,1,No
1134,51,Female,Sales,'Account Manager',55379,2,1,4,3,2,75,No,2,No
1135,32,Male,IT,'Software Engineer',32297,1,0,1,4,5,0,No,2,No
1136,49,Female,R&D,'Research Scientist',17011,13,1,1,1,3,54,No,4,Yes
1137,46,Male,Sales,'Sales Executive',135234,19,4,2,3,4,21,No,5,No
1138,54,Male,Finance,Accountant,59014,17,2,4,4,2,39,No,2,No
1139,22,Male,Sales,'Account Manager',109333,0,0,1,2,5,0,Yes,1,Yes
1140,48,Female,HR,Recruiter,26120,9,6,2,4,4,64,No,1,No
1141,34,Male,Sales,'Account Manager',37852,8,4,4,2,4,62,No,5,No
1142,24,Male,Sales,'Sales Executive',94239,1,1,3,2,2,53,No,5,No
1143,27,Female,HR,'HR Generalist',147001,0,0,3,1,5,41,No,4,No
1144,29,Male,R&D,'Lab Technician',106575,4,0,2,1,4,20,Yes,3,Yes
1145,48,Male,R&D,'Lab Technician',110040,0,0,3,4,4,78,No,1,No
1146,30,Male,Sales,'Sales Executive',20744,3,2,1,1,1,80,Yes,5,Yes
1147,58,Male,HR,'HR Generalist',57359,13,2,4,1,4,21,No,1,No
1148,54,Male,HR,Recruiter,113746,0,0,1,1,1,37,No,5,No
1149,45,Male,Finance,Accountant,135906,13,8,1,4,5,79,No,2,No
1150,36,Female,R&D,'Lab Technician',22597,5,4,3,3,5,7,No,1,No
1151,53,Male,IT,'Data Scientist',62093,13,8,1,1,5,61,No,2,Yes
1152,53,Male,R&D,'Research Scientist',129650,19,8,3,1,3,46,No,1,No
1153,45,Female,R&D,'Research Scientist',135956,2,0,4,4,5,16,No,3,No
1154,33,Male,Finance,'Financial Analyst',130598,2,1,4,3,4,16,No,4,No
1155,23,Female,IT,'Data Scientist',148241,0,0,1,1,2,12,No,2,No
1156,24,Male,Finance,'Financial Analyst',23036,1,0,2,2,1,16,Yes,5,Yes
1157,58,Male,IT,'Software Engineer',46778,12,3,3,4,3,37,Yes,3,Yes
1158,38,Male,Sales,'Sales Executive',33800,1,0,3,1,5,80,No,1,No
1159,23,Male,IT,'System Admin',40372,1,1,1,1,5,77,No,2,Yes
1160,23,Male,Finance,Accountant,76516,0,0,3,2,2,44,No,1,No
1161,49,Male,R&D,'Research Scientist',35538,1,0,3,2,2,5,Yes,1,Yes
1162,44,Male,IT,'Software Engineer',78918,3,2,2,4,3,34,No,1,Yes
1163,58,Male,IT,'System Admin',86155,14,5,2,4,1,13,No,4,Yes
1164,53,Male,HR,'HR Generalist',74500,3,2,1,2,5,71,Yes,4,No
1165,54,Male,R&D,'Research Scientist',125659,12,0,2,4,3,60,No,5,No
1166,22,Male,Sales,'Sales Executive',42716,0,0,1,2,4,14,No,2,No
1167,40,Male,Finance,'Financial Analyst',149308,11,0,4,1,4,53,No,3,Yes
1168,23,Female,Sales,'Account Manager',17352,1,1,1,2,3,26,No,3,Yes
1169,47,Male,R&D,'Lab Technician',148004,12,1,4,2,5,12,No,3,No
1170,53,Female,IT,'Data Scientist',91449,13,9,1,3,3,30,Yes,1,No
1171,27,Female,IT,'Software Engineer',23556,3,2,3,2,5,34,No,4,No
1172,53,Male,R&D,'Lab Technician',101836,17,8,2,2,2,59,No,2,Yes
1173,25,Female,IT,'System Admin',65098,0,0,4,3,3,5,No,1,No
1174,32,Female,IT,'System Admin',127169,5,5,1,4,5,68,No,4,No
1175,38,Male,IT,'Data Scientist',141060,10,0,2,3,3,57,No,4,No
1176,45,Male,Finance,Accountant,145544,1,0,1,1,3,48,No,2,No
1177,26,Female,Finance,'Financial Analyst',15340,3,1,2,3,5,22,Yes,2,Yes
1178,55,Female,HR,Recruiter,97302,18,5,2,1,5,33,No,2,No
1179,27,Male,Sales,'Sales Executive',15138,2,1,1,4,1,25,No,1,No
1180,43,Male,R&D,'Research Scientist',146430,4,1,4,3,3,46,No,5,No
1181,32,Male,R&D,'Research Scientist',134619,2,0,4,3,4,4,No,2,No
1182,37,Male,R&D,'Research Scientist',100376,1,1,3,4,3,19,Yes,5,No
1183,54,Female,HR,Recruiter,114931,9,4,2,1,3,5,No,1,No
1184,30,Male,Finance,'Financial Analyst',96532,8,4,3,3,5,69,No,5,No
1185,27,Male,HR,'HR Generalist',70778,1,1,3,1,3,58,No,3,No
1186,37,Female,R&D,'Lab Technician',52772,13,5,1,3,3,63,No,5,No
1187,50,Male,Sales,'Sales Executive',73478,10,8,1,2,4,17,No,2,No
1188,24,Male,IT,'Data Scientist',41762,1,1,1,3,5,3,Yes,1,No
1189,41,Female,Finance,Accountant,70568,14,9,2,4,3,16,No,2,Yes
1190,57,Female,Finance,'Financial Analyst',100090,8,1,1,4,2,13,Yes,3,No
1191,40,Male,HR,Recruiter,35219,18,2,1,1,1,77,No,2,No
1192,47,Male,Finance,Accountant,72169,8,6,2,3,4,12,Yes,2,Yes
1193,24,Male,R&D,'Research Scientist',89965,2,1,2,1,3,6,Yes,2,Yes
1194,40,Male,R&D,'Lab Technician',99754,8,7,4,1,2,43,No,4,No
1195,41,Male,HR,Recruiter,92988,13,7,1,2,3,14,No,3,Yes
1196,53,Male,R&D,'Lab Technician',147379,18,5,1,2,3,18,No,2,No
1197,28,Male,Sales,'Account Manager',95388,6,3,1,4,5,62,No,2,No
1198,54,Male,HR,Recruiter,105768,15,10,4,1,5,34,No,2,No
1199,39,Male,Sales,'Sales Executive',50428,15,9,1,4,5,80,No,1,No
1200,22,Male,IT,'Data Scientist',107021,0,0,4,3,2,34,No,4,No
1201,32,Male,Sales,'Sales Executive',133418,0,0,3,1,3,18,Yes,1,No
1202,49,Male,IT,'Software Engineer',147212,3,2,4,1,1,19,No,4,No
1203,46,Male,IT,'System Admin',41421,3,3,3,3,4,34,No,2,No
1204,44,Female,Sales,'Account Manager',16708,6,2,1,3,5,31,No,3,Yes
1205,52,Female,HR,'HR Generalist',149702,7,6,3,4,5,47,Yes,5,No
1206,51,Female,R&D,'Lab Technician',91021,16,0,4,4,3,43,Yes,5,No
1207,56,Female,R&D,'Lab Technician',59789,4,4,2,3,3,23,Yes,2,Yes
1208,28,Male,IT,'Software Engineer',41086,6,3,3,4,2,60,No,1,No
1209,37,Male,IT,'System Admin',31859,11,9,3,3,2,16,No,3,No
1210,47,Male,HR,Recruiter,22684,19,3,1,1,5,70,Yes,4,Yes
1211,23,Female,Finance,'Financial Analyst',106088,0,0,4,1,3,49,No,2,No
1212,22,Female,Sales,'Account Manager',147279,0,0,3,2,1,64,No,3,No
1213,33,Male,IT,'Software Engineer',61099,3,1,3,1,4,31,No,3,Yes
1214,26,Male,R&D,'Research Scientist',81093,3,3,3,3,3,35,No,4,Yes
1215,58,Male,HR,'HR Generalist',63651,5,5,3,4,3,12,Yes,3,Yes
1216,53,Male,Sales,'Account Manager',28893,6,6,2,2,2,69,No,1,Yes
1217,30,Female,HR,'HR Generalist',81418,1,1,4,4,4,57,No,1,No
1218,56,Female,Sales,'Account Manager',140074,4,4,1,3,5,13,No,1,No
1219,40,Male,Sales,'Account Manager',118065,2,2,1,1,3,36,No,3,No
1220,37,Female,IT,'Data Scientist',145351,6,5,2,2,5,78,Yes,1,Yes
1221,24,Female,HR,Recruiter,53635,2,1,4,3,3,67,No,4,No
1222,41,Male,HR,'HR Generalist',110071,13,10,3,2,5,39,Yes,3,No
1223,45,Male,R&D,'Lab Technician',93518,6,4,2,2,4,58,No,5,Yes
1224,54,Male,R&D,'Lab Technician',121233,4,0,4,1,2,79,No,3,No
1225,45,Male,IT,'System Admin',118651,4,1,3,3,4,15,Yes,4,No
1226,32,Male,IT,'Software Engineer',87805,6,3,2,4,1,61,No,5,No
1227,29,Male,Finance,Accountant,137813,1,1,4,2,2,3,Yes,3,No
1228,57,Male,R&D,'Research Scientist',94063,20,0,1,2,4,44,No,1,Yes
1229,41,Male,Sales,'Account Manager',17454,5,1,1,4,1,27,No,2,No
1230,56,Female,HR,'HR Generalist',35878,14,8,4,3,3,65,No,2,Yes
1231,46,Male,IT,'Data Scientist',83344,20,7,1,2,3,30,No,1,No
1232,56,Male,HR,Recruiter,119946,9,2,4,2,5,2,No,2,No
1233,46,Male,HR,'HR Generalist',51593,6,3,3,2,2,7,No,2,Yes
1234,50,Female,Finance,'Financial Analyst',51304,4,0,4,3,3,23,No,1,No
1235,39,Male,R&D,'Research Scientist',128613,0,0,3,3,2,14,No,1,No
1236,39,Male,IT,'System Admin',33354,12,9,2,4,3,42,Yes,3,Yes
1237,23,Female,HR,Recruiter,37190,0,0,4,3,5,30,No,3,No
1238,56,Female,IT,'Data Scientist',21142,17,3,2,3,4,72,Yes,1,No
1239,37,Female,Sales,'Sales Executive',56862,12,2,1,1,5,44,No,4,No
1240,57,Male,Finance,Accountant,140438,20,5,3,4,1,65,Yes,2,No
1241,54,Male,Sales,'Sales Executive',63456,20,6,4,2,3,7,Yes,3,No
1242,25,Female,IT,'Software Engineer',115167,1,1,2,3,1,70,No,2,No
1243,54,Female,IT,'Data Scientist',97035,4,0,3,2,1,56,No,5,No
1244,35,Female,R&D,'Lab Technician',23016,12,10,3,2,2,79,No,1,No
1245,42,Female,HR,Recruiter,17384,3,1,1,1,3,29,Yes,4,Yes
1246,41,Male,HR,Recruiter,117239,16,10,1,3,1,73,No,5,No
1247,29,Female,Sales,'Account Manager',126431,2,2,3,4,4,17,No,5,No
1248,28,Male,Finance,Accountant,95018,0,0,3,3,1,68,No,5,Yes
1249,24,Male,HR,Recruiter,55510,2,0,4,2,4,38,Yes,1,No
1250,38,Male,R&D,'Research Scientist',36826,3,2,3,4,2,59,No,3,No
1251,54,Male,Sales,'Sales Executive',83026,1,0,4,3,1,42,Yes,1,Yes
1252,33,Male,Sales,'Sales Executive',136668,3,3,3,2,5,44,No,3,No
1253,43,Male,R&D,'Research Scientist',39045,15,9,1,2,2,22,No,5,Yes
1254,43,Female,Finance,'Financial Analyst',105102,17,7,4,1,4,68,No,5,No
1255,51,Male,R&D,'Lab Technician',66919,7,7,2,1,2,5,No,4,Yes
1256,29,Female,Finance,'Financial Analyst',114441,2,0,1,1,1,55,No,3,No
1257,48,Male,R&D,'Research Scientist',133325,8,3,4,2,3,3,No,5,No
1258,48,Male,R&D,'Research Scientist',34337,19,4,4,3,3,22,No,2,No
1259,55,Male,IT,'Software Engineer',92949,5,4,2,1,4,5,No,4,No
1260,42,Male,Sales,'Sales Executive',15276,9,7,4,3,4,31,No,1,No
1261,51,Male,R&D,'Research Scientist',66151,20,6,3,1,3,17,No,4,Yes
1262,54,Male,R&D,'Research Scientist',67887,9,8,2,4,4,14,No,2,No
1263,49,Male,HR,Recruiter,96442,12,7,1,4,2,39,No,3,No
1264,54,Female,Sales,'Account Manager',64847,16,1,1,1,5,72,No,1,Yes
1265,26,Male,HR,'HR Generalist',73653,0,0,3,2,5,73,No,1,Yes
1266,40,Female,Sales,'Account Manager',71622,16,9,1,1,2,5,Yes,3,Yes
1267,25,Male,HR,Recruiter,42810,3,3,4,1,5,62,No,4,No
1268,56,Female,R&D,'Lab Technician',92842,8,3,4,2,1,66,No,5,No
1269,38,Female,R&D,'Lab Technician',137225,8,5,3,4,2,10,Yes,4,No
1270,49,Female,IT,'System Admin',25503,0,0,1,3,4,42,Yes,2,Yes
1271,51,Male,HR,Recruiter,99761,1,1,1,1,2,16,No,5,Yes
1272,50,Male,Finance,Accountant,141439,15,1,3,2,3,3,No,4,No
1273,27,Male,IT,'Data Scientist',26590,4,2,2,1,4,62,No,3,No
1274,56,Female,HR,'HR Generalist',81624,0,0,1,2,3,67,Yes,2,Yes
1275,58,Female,HR,'HR Generalist',135356,9,2,2,3,4,80,No,2,No
1276,45,Female,IT,'System Admin',57727,17,10,1,3,5,40,Yes,2,Yes
1277,50,Male,R&D,'Research Scientist',93471,7,1,1,4,2,4,No,5,Yes
1278,52,Female,HR,'HR Generalist',23068,20,10,1,2,1,31,Yes,1,No
1279,56,Female,R&D,'Research Scientist',131923,10,7,1,2,4,69,Yes,5,Yes
1280,54,Male,IT,'Software Engineer',26390,1,1,4,4,4,34,Yes,4,No
1281,42,Male,R&D,'Lab Technician',121752,7,0,2,4,3,21,No,1,No
1282,53,Female,Sales,'Account Manager',109754,7,3,2,2,5,64,Yes,4,Yes
1283,44,Female,Finance,Accountant,90969,16,0,1,4,3,21,No,1,Yes
1284,54,Female,HR,'HR Generalist',92064,14,6,1,3,3,10,No,5,No
1285,24,Male,Finance,'Financial Analyst',36281,0,0,2,1,5,76,No,2,Yes
1286,39,Female,R&D,'Research Scientist',69189,12,7,4,3,1,2,No,3,No
1287,46,Male,HR,'HR Generalist',63511,18,4,3,4,3,8,No,2,Yes
1288,52,Male,R&D,'Research Scientist',137115,4,3,3,2,3,59,Yes,5,Yes
1289,24,Male,Sales,'Account Manager',23605,0,0,2,2,4,75,No,1,No
1290,45,Female,IT,'Data Scientist',115318,4,2,1,3,5,13,Yes,2,Yes
1291,53,Female,HR,'HR Generalist',147453,7,4,1,2,2,17,Yes,5,Yes
1292,43,Male,Sales,'Sales Executive',34810,12,3,4,4,1,72,No,4,No
1293,44,Male,Sales,'Sales Executive',56869,7,5,3,3,1,22,No,3,No
1294,23,Female,HR,'HR Generalist',47955,0,0,4,2,5,73,No,2,Yes
1295,48,Male,R&D,'Lab Technician',76388,10,5,3,1,4,46,No,1,No
1296,23,Female,Sales,'Sales Executive',25207,0,0,2,1,4,68,No,4,Yes
1297,47,Male,Finance,'Financial Analyst',37031,12,5,3,4,5,46,Yes,5,No
1298,38,Male,Sales,'Sales Executive',95807,2,2,4,2,4,29,Yes,3,No
1299,54,Male,R&D,'Research Scientist',86312,16,8,4,4,1,24,Yes,1,No
1300,30,Male,R&D,'Lab Technician',74766,4,3,4,3,1,27,Yes,5,No
1301,50,Female,Finance,'Financial Analyst',104833,19,10,2,1,2,24,No,5,No
1302,47,Male,Sales,'Sales Executive',126041,20,6,3,3,5,73,No,2,No
1303,56,Male,R&D,'Lab Technician',131185,7,7,3,2,3,77,Yes,2,No
1304,46,Female,HR,Recruiter,25350,13,0,4,4,3,57,No,1,No
1305,45,Male,IT,'Data Scientist',115859,3,2,3,4,2,40,No,5,No
1306,34,Male,IT,'System Admin',83487,10,6,1,4,2,24,Yes,2,Yes
1307,28,Female,IT,'System Admin',138853,3,0,1,3,4,77,Yes,3,No
1308,57,Female,Sales,'Account Manager',68117,14,4,1,1,2,47,Yes,3,No
1309,41,Male,Finance,Accountant,116084,18,1,3,3,2,9,Yes,5,No
1310,22,Female,R&D,'Lab Technician',38782,0,0,2,3,3,74,Yes,2,Yes
1311,29,Female,HR,Recruiter,43454,6,3,2,2,4,10,No,1,Yes
1312,37,Male,HR,Recruiter,82904,2,1,2,2,2,20,Yes,1,No
1313,35,Male,Sales,'Account Manager',144936,11,9,2,2,2,44,No,1,Yes
1314,33,Female,IT,'Software Engineer',137258,2,2,1,1,4,6,No,3,No
1315,44,Female,Sales,'Sales Executive',126668,10,10,1,1,5,80,No,2,Yes
1316,36,Male,Finance,'Financial Analyst',139184,9,6,4,2,4,63,No,2,No
1317,49,Female,Finance,Accountant,31566,4,2,3,2,3,63,Yes,3,Yes
1318,55,Female,R&D,'Lab Technician',53333,4,4,3,1,5,1,No,1,No
1319,23,Male,R&D,'Lab Technician',136929,1,0,2,4,1,75,No,1,Yes
1320,53,Male,Finance,Accountant,104571,7,2,1,1,4,41,Yes,5,Yes
1321,44,Male,Finance,Accountant,135263,9,0,2,1,3,53,Yes,4,Yes
1322,43,Female,Finance,Accountant,147661,5,3,4,1,5,74,No,2,No
