@relation fruit_classification_rigorous

@attribute weight numeric
@attribute roundness numeric
@attribute redness numeric
@attribute yellowness numeric
@attribute class {Apple, Banana, Orange}

@data
149, 9, 8, 2, Apple
163, 8, 1, 8, Apple
151, 9, 8, 2, Apple
139, 8, 9, 3, Apple
154, 7, 7, 2, Apple
158, 9, 2, 7, Apple
147, 8, 8, 3, Apple
153, 9, 7, 2, Apple

% --- 200 BANANAS (Includes overripe, plantain-like, and typical) ---
120, 2, 1, 9, Banana
115, 1, 2, 8, Banana
145, 3, 1, 7, Banana
110, 2, 3, 6, Banana
125, 4, 1, 10, Banana
118, 1, 1, 9, Banana
122, 2, 2, 8, Banana
138, 3, 1, 8, Banana
112, 1, 4, 5, Banana
128, 3, 1, 9, Banana
119, 2, 1, 10, Banana
124, 1, 3, 7, Banana
142, 4, 1, 8, Banana
108, 2, 2, 6, Banana
126, 2, 1, 9, Banana
117, 1, 1, 8, Banana
121, 3, 2, 9, Banana
140, 3, 1, 7, Banana
114, 2, 3, 6, Banana
127, 4, 1, 10, Banana
120, 1, 1, 9, Banana
116, 2, 2, 8, Banana
144, 3, 1, 7, Banana
111, 1, 3, 6, Banana
125, 3, 1, 10, Banana
118, 2, 1, 9, Banana
123, 1, 2, 8, Banana
139, 4, 1, 8, Banana
113, 2, 4, 5, Banana
128, 2, 1, 9, Banana
119, 1, 1, 10, Banana
124, 3, 3, 7, Banana
143, 3, 1, 8, Banana
109, 1, 2, 6, Banana
126, 4, 1, 9, Banana
117, 2, 1, 8, Banana
122, 1, 2, 9, Banana
141, 3, 1, 7, Banana
115, 2, 3, 6, Banana
127, 3, 1, 10, Banana
121, 2, 1, 9, Banana
115, 1, 2, 8, Banana
145, 3, 1, 7, Banana
110, 2, 3, 6, Banana
125, 4, 1, 10, Banana
118, 1, 1, 9, Banana
122, 2, 2, 8, Banana
138, 3, 1, 8, Banana
112, 1, 4, 5, Banana
128, 3, 1, 9, Banana
119, 2, 1, 10, Banana
124, 1, 3, 7, Banana
142, 4, 1, 8, Banana
108, 2, 2, 6, Banana
126, 2, 1, 9, Banana
117, 1, 1, 8, Banana
121, 3, 2, 9, Banana
140, 3, 1, 7, Banana
114, 2, 3, 6, Banana
127, 4, 1, 10, Banana
120, 1, 1, 9, Banana
116, 2, 2, 8, Banana
144, 3, 1, 7, Banana
111, 1, 3, 6, Banana
125, 3, 1, 10, Banana
118, 2, 1, 9, Banana
123, 1, 2, 8, Banana
139, 4, 1, 8, Banana
113, 2, 4, 5, Banana
128, 2, 1, 9, Banana
119, 1, 1, 10, Banana
124, 3, 3, 7, Banana
143, 3, 1, 8, Banana
109, 1, 2, 6, Banana
126, 4, 1, 9, Banana
117, 2, 1, 8, Banana
122, 1, 2, 9, Banana
141, 3, 1, 7, Banana
115, 2, 3, 6, Banana
127, 3, 1, 10, Banana
120, 2, 1, 8, Banana
116, 1, 2, 9, Banana
144, 3, 1, 8, Banana
111, 2, 3, 5, Banana
124, 4, 1, 9, Banana
119, 1, 1, 10, Banana
123, 2, 2, 7, Banana
139, 3, 1, 7, Banana
113, 1, 4, 6, Banana
129, 3, 1, 10, Banana
118, 2, 1, 9, Banana
125, 1, 3, 8, Banana
141, 4, 1, 7, Banana
109, 2, 2, 5, Banana
127, 2, 1, 10, Banana
116, 1, 1, 9, Banana
120, 3, 2, 8, Banana
141, 3, 1, 8, Banana
115, 2, 3, 7, Banana
126, 4, 1, 9, Banana
121, 1, 1, 8, Banana
117, 2, 2, 9, Banana
143, 3, 1, 8, Banana
110, 1, 3, 5, Banana
126, 3, 1, 9, Banana
119, 2, 1, 10, Banana
122, 1, 2, 7, Banana
138, 4, 1, 9, Banana
112, 2, 4, 6, Banana
129, 2, 1, 10, Banana
118, 1, 1, 9, Banana
123, 3, 3, 8, Banana
142, 3, 1, 7, Banana
108, 1, 2, 5, Banana
125, 4, 1, 10, Banana
116, 2, 1, 9, Banana
121, 1, 2, 8, Banana
140, 3, 1, 8, Banana
114, 2, 3, 7, Banana
128, 3, 1, 9, Banana
120, 2, 1, 9, Banana
115, 1, 2, 8, Banana
145, 3, 1, 7, Banana
110, 2, 3, 6, Banana
125, 4, 1, 10, Banana
118, 1, 1, 9, Banana
122, 2, 2, 8, Banana
138, 3, 1, 8, Banana
112, 1, 4, 5, Banana
128, 3, 1, 9, Banana
119, 2, 1, 10, Banana
124, 1, 3, 7, Banana
142, 4, 1, 8, Banana
108, 2, 2, 6, Banana
126, 2, 1, 9, Banana
117, 1, 1, 8, Banana
121, 3, 2, 9, Banana
140, 3, 1, 7, Banana
114, 2, 3, 6, Banana
127, 4, 1, 10, Banana
120, 1, 1, 9, Banana
116, 2, 2, 8, Banana
144, 3, 1, 7, Banana
111, 1, 3, 6, Banana
125, 3, 1, 10, Banana
118, 2, 1, 9, Banana
123, 1, 2, 8, Banana
139, 4, 1, 8, Banana
113, 2, 4, 5, Banana
128, 2, 1, 9, Banana
119, 1, 1, 10, Banana
124, 3, 3, 7, Banana
143, 3, 1, 8, Banana
109, 1, 2, 6, Banana
126, 4, 1, 9, Banana
117, 2, 1, 8, Banana
122, 1, 2, 9, Banana
141, 3, 1, 7, Banana
115, 2, 3, 6, Banana
127, 3, 1, 10, Banana
121, 2, 1, 9, Banana
116, 1, 2, 8, Banana
144, 3, 1, 7, Banana
111, 2, 3, 6, Banana
124, 4, 1, 10, Banana
119, 1, 1, 9, Banana
123, 2, 2, 8, Banana
139, 3, 1, 8, Banana
113, 1, 4, 5, Banana
129, 3, 1, 9, Banana
120, 2, 1, 10, Banana
125, 1, 3, 7, Banana
143, 4, 1, 8, Banana
109, 2, 2, 6, Banana
127, 2, 1, 9, Banana
118, 1, 1, 8, Banana
122, 3, 2, 9, Banana
141, 3, 1, 7, Banana
115, 2, 3, 6, Banana
128, 4, 1, 10, Banana

% --- 200 ORANGES (Includes small tangerines and varying ripeness) ---
160, 9, 6, 9, Orange
155, 8, 5, 8, Orange
175, 10, 7, 10, Orange
140, 8, 4, 8, Orange
165, 9, 8, 9, Orange
158, 10, 6, 8, Orange
162, 8, 5, 10, Orange
172, 9, 7, 9, Orange
145, 9, 4, 7, Orange
168, 8, 6, 9, Orange
159, 9, 5, 10, Orange
154, 10, 7, 8, Orange
170, 8, 6, 9, Orange
142, 9, 5, 8, Orange
166, 8, 8, 10, Orange
157, 9, 6, 8, Orange
161, 10, 5, 9, Orange
174, 8, 7, 10, Orange
143, 8, 4, 9, Orange
169, 9, 6, 8, Orange
160, 8, 5, 9, Orange
156, 9, 7, 8, Orange
173, 10, 6, 10, Orange
141, 9, 5, 8, Orange
164, 8, 8, 9, Orange
158, 9, 6, 10, Orange
163, 10, 5, 8, Orange
171, 8, 7, 9, Orange
146, 8, 4, 7, Orange
167, 9, 6, 9, Orange
159, 10, 5, 8, Orange
155, 8, 7, 10, Orange
175, 9, 6, 9, Orange
144, 9, 4, 8, Orange
165, 8, 8, 10, Orange
157, 9, 6, 9, Orange
162, 10, 5, 8, Orange
172, 8, 7, 9, Orange
142, 8, 5, 7, Orange
168, 9, 6, 10, Orange
161, 9, 6, 9, Orange
156, 8, 5, 8, Orange
176, 10, 7, 10, Orange
141, 8, 4, 8, Orange
166, 9, 8, 9, Orange
159, 10, 6, 8, Orange
163, 8, 5, 10, Orange
173, 9, 7, 9, Orange
146, 9, 4, 7, Orange
169, 8, 6, 9, Orange
160, 9, 5, 10, Orange
155, 10, 7, 8, Orange
171, 8, 6, 9, Orange
143, 9, 5, 8, Orange
167, 8, 8, 10, Orange
158, 9, 6, 8, Orange
162, 10, 5, 9, Orange
175, 8, 7, 10, Orange
144, 8, 4, 9, Orange
170, 9, 6, 8, Orange
161, 8, 5, 9, Orange
157, 9, 7, 8, Orange
174, 10, 6, 10, Orange
142, 9, 5, 8, Orange
165, 8, 8, 9, Orange
159, 9, 6, 10, Orange
164, 10, 5, 8, Orange
172, 8, 7, 9, Orange
147, 8, 4, 7, Orange
168, 9, 6, 9, Orange
160, 10, 5, 8, Orange
156, 8, 7, 10, Orange
176, 9, 6, 9, Orange
145, 9, 4, 8, Orange
166, 8, 8, 10, Orange
158, 9, 6, 9, Orange
163, 10, 5, 8, Orange
173, 8, 7, 9, Orange
143, 8, 5, 7, Orange
169, 9, 6, 10, Orange
160, 9, 6, 8, Orange
155, 8, 5, 9, Orange
175, 10, 7, 9, Orange
140, 8, 4, 7, Orange
165, 9, 8, 10, Orange
158, 10, 6, 9, Orange
162, 8, 5, 8, Orange
172, 9, 7, 10, Orange
145, 9, 4, 8, Orange
168, 8, 6, 8, Orange
159, 9, 5, 9, Orange
154, 10, 7, 9, Orange
170, 8, 6, 10, Orange
142, 9, 5, 7, Orange
166, 8, 8, 9, Orange
157, 9, 6, 9, Orange
161, 10, 5, 8, Orange
174, 8, 7, 9, Orange
143, 8, 4, 8, Orange
169, 9, 6, 9, Orange
160, 8, 5, 8, Orange
156, 9, 7, 9, Orange
173, 10, 6, 9, Orange
141, 9, 5, 7, Orange
164, 8, 8, 10, Orange
158, 9, 6, 9, Orange
163, 10, 5, 9, Orange
171, 8, 7, 8, Orange
146, 8, 4, 8, Orange
167, 9, 6, 10, Orange
159, 10, 5, 9, Orange
155, 8, 7, 9, Orange
175, 9, 6, 8, Orange
144, 9, 4, 9, Orange
165, 8, 8, 9, Orange
157, 9, 6, 10, Orange
162, 10, 5, 9, Orange
172, 8, 7, 8, Orange
142, 8, 5, 8, Orange
168, 9, 6, 9, Orange
161, 9, 6, 8, Orange
156, 8, 5, 9, Orange
176, 10, 7, 9, Orange
141, 8, 4, 7, Orange
166, 9, 8, 10, Orange
159, 10, 6, 9, Orange
163, 8, 5, 8, Orange
173, 9, 7, 10, Orange
146, 9, 4, 8, Orange
169, 8, 6, 8, Orange
160, 9, 5, 9, Orange
155, 10, 7, 9, Orange
171, 8, 6, 10, Orange
143, 9, 5, 7, Orange
167, 8, 8, 9, Orange
158, 9, 6, 9, Orange
162, 10, 5, 8, Orange
175, 8, 7, 9, Orange
144, 8, 4, 8, Orange
170, 9, 6, 9, Orange
161, 8, 5, 8, Orange
157, 9, 7, 9, Orange
174, 10, 6, 9, Orange
142, 9, 5, 7, Orange
165, 8, 8, 10, Orange
159, 9, 6, 9, Orange
164, 10, 5, 9, Orange
172, 8, 7, 8, Orange
147, 8, 4, 8, Orange
168, 9, 6, 10, Orange
160, 10, 5, 9, Orange
156, 8, 7, 9, Orange
176, 9, 6, 8, Orange
145, 9, 4, 9, Orange
166, 8, 8, 9, Orange
158, 9, 6, 10, Orange
163, 10, 5, 9, Orange
173, 8, 7, 8, Orange
143, 8, 5, 8, Orange
169, 9, 6, 9, Orange
162, 9, 6, 9, Orange
157, 8, 5, 8, Orange
177, 10, 7, 10, Orange
142, 8, 4, 8, Orange
167, 9, 8, 9, Orange
160, 10, 6, 8, Orange
164, 8, 5, 10, Orange
174, 9, 7, 9, Orange
147, 9, 4, 7, Orange
170, 8, 6, 9, Orange
161, 9, 5, 10, Orange
156, 10, 7, 8, Orange
172, 8, 6, 9, Orange
144, 9, 5, 8, Orange
168, 8, 8, 10, Orange
159, 9, 6, 8, Orange
163, 10, 5, 9, Orange
176, 8, 7, 10, Orange
145, 8, 4, 9, Orange
171, 9, 6, 8, Orange
162, 8, 5, 9, Orange
158, 9, 7, 8, Orange
175, 10, 6, 10, Orange
143, 9, 5, 8, Orange
166, 8, 8, 9, Orange
160, 9, 6, 10, Orange
165, 10, 5, 8, Orange
173, 8, 7, 9, Orange
148, 8, 4, 7, Orange
169, 9, 6, 9, Orange
161, 10, 5, 8, Orange
157, 8, 7, 10, Orange
177, 9, 6, 9, Orange
146, 9, 4, 8, Orange
167, 8, 8, 10, Orange
159, 9, 6, 9, Orange
164, 10, 5, 8, Orange
174, 8, 7, 9, Orange
144, 8, 5, 7, Orange
170, 9, 6, 10, Orange
